,domain,convergence percent error vals
0,5,0.26090272373540857
1,10,0.24643579766536972
2,15,0.23543190661478597
3,20,0.23002334630350188
4,25,0.2243735408560311
5,30,0.22123735408560308
6,35,0.21893385214007777
7,40,0.2163657587548638
8,45,0.21392996108949425
9,50,0.2122568093385214
10,55,0.21101945525291835
11,60,0.20887159533073937
12,65,0.2080466926070038
13,70,0.20610116731517503
14,75,0.2055486381322958
15,80,0.20385214007782104
16,85,0.20328404669260702
17,90,0.20231128404669263
18,95,0.20070038910505844
19,100,0.19885603112840464
