,domain,convergence percent error vals
0,5,0.09775209477029764
1,10,0.08719445247038433
2,15,0.08299046518347299
3,20,0.08135221034383125
4,25,0.07911875180583644
5,30,0.07751227968795145
6,35,0.07616006934412024
7,40,0.07452181450447849
8,45,0.07392372146778385
9,50,0.07282866223634786
10,55,0.07159491476451892
11,60,0.07141577578734472
12,65,0.07116729268997397
13,70,0.07065010112684195
14,75,0.0702773764807859
15,80,0.07007223345853798
16,85,0.06945391505345279
17,90,0.06857555619763078
18,95,0.0681161514013291
19,100,0.06767986131175954
