,domain,convergence percent error vals
0,5,0.27618677042801565
1,10,0.25879377431906614
2,15,0.247603112840467
3,20,0.24178210116731522
4,25,0.23695719844357976
5,30,0.23440466926070042
6,35,0.2303657587548638
7,40,0.22672373540856025
8,45,0.22389883268482494
9,50,0.2210505836575875
10,55,0.21927626459143967
11,60,0.21901945525291833
12,65,0.21770428015564203
13,70,0.21685603112840474
14,75,0.21545525291828785
15,80,0.21370428015564194
16,85,0.21278599221789887
17,90,0.2113929961089495
18,95,0.20989883268482493
19,100,0.20926848249027244
