,domain,convergence percent error vals
0,5,0.10205720889916203
1,10,0.09351921409997113
2,15,0.09082346142733318
3,20,0.08836463449869977
4,25,0.08652123663681012
5,30,0.08493498988731582
6,35,0.08305980930366941
7,40,0.0820023114706732
8,45,0.08110661658480209
9,50,0.08084368679572383
10,55,0.07930366945969368
11,60,0.07897717422710203
12,65,0.07866801502455938
13,70,0.07794279110083797
14,75,0.0774082635076567
15,80,0.07693152268130604
16,85,0.07693152268130604
17,90,0.07647211788500435
18,95,0.07591447558509096
19,100,0.07581912741982082
