,domain,convergence percent error vals
0,5,0.09142733314071073
1,10,0.08632476162958681
2,15,0.08201675816238085
3,20,0.07980063565443515
4,25,0.07865067899451027
5,30,0.0771597804102861
6,35,0.07597515169026288
7,40,0.0748714244438024
8,45,0.07416931522681301
9,50,0.07383126264085531
10,55,0.0734614273331407
11,60,0.0724761629586825
12,65,0.071756717711644
13,70,0.07146489453915057
14,75,0.07082057208899166
15,80,0.07045940479630168
16,85,0.07019936434556488
17,90,0.06971684484253104
18,95,0.06955215255706437
19,100,0.06912741982086103
