,domain,convergence percent error vals
0,5,0.10091592025426177
1,10,0.09465472406818835
2,15,0.09119907541173068
3,20,0.08798902051430228
4,25,0.08520080901473566
5,30,0.08310026004045078
6,35,0.08190985264374452
7,40,0.08142444380236924
8,45,0.0804680728113262
9,50,0.07977463160936143
10,55,0.07924877203120491
11,60,0.07841086391216415
12,65,0.07781566021381109
13,70,0.07756428777809876
14,75,0.0770413175382837
15,80,0.07646633920832133
16,85,0.07607916787055763
17,90,0.07595203698353074
18,95,0.07586535683328523
19,100,0.07560531638254842
