,domain,convergence percent error vals
0,5,0.09113262062987572
1,10,0.08395550418954065
2,15,0.08139843975729552
3,20,0.07947125108350193
4,25,0.07762207454492924
5,30,0.07654435134354234
6,35,0.07540595203698354
7,40,0.07451025715111242
8,45,0.0735163247616296
9,50,0.07279976885293268
10,55,0.07251661369546375
11,60,0.07171626697486276
12,65,0.07129731291534246
13,70,0.07050274487142451
14,75,0.06984975440624097
15,80,0.06936723490320715
16,85,0.06909274776076282
17,90,0.06895117018202827
18,95,0.06868824039295002
19,100,0.06843108928055479
